Deal_ID,Customer_ID,Month,SKU_ID,Sales_Rep_ID,Sales_Rep_Name,Sales_Team,Sales_Motion,Lead_Source,Deal_Type,Booking_Amount_USD,ARR_Booked_USD,Discount_Pct,List_Price_ARR_USD,Plan_Type,Commit_Type,Usage_Commit_Units
D_C0001,C0001,2023-03-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Outbound,New,255573.01,255573.01,17.73,310639.2,Pro,Usage commit,11129
D_C0002,C0002,2021-01-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Outbound,New,266092.07,266092.07,5.97,282988.42,Pro,Hybrid,2525
D_C0003,C0003,2022-09-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,210055.78,210055.78,11.73,237982.07,Pro,Hybrid,10538
D_C0004,C0004,2023-02-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Partner,New,203203.23,203203.23,8.82,222866.12,Pro,Hybrid,5639
D_C0005,C0005,2022-04-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Inbound,New,305947.58,305947.58,7.81,331877.02,Enterprise,Usage commit,8773
D_C0006,C0006,2021-07-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,299047.12,299047.12,8.53,326944.36,Enterprise,Usage commit,9095
D_C0007,C0007,2021-07-01,SKU1,ER09,Rep_ER09,Enterprise,High-touch AE,Partner,New,173514.28,173514.28,15.14,204473.91,Enterprise,Hybrid,2819
D_C0008,C0008,2023-02-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Inbound,New,159222.98,159222.98,9.56,176055.98,Pro,Hybrid,2449
D_C0009,C0009,2021-06-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Partner,New,294349.71,294349.71,8.1,320300.77,Enterprise,Subscription,10227
D_C0010,C0010,2021-03-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Outbound,New,134849.66,134849.66,12.34,153833.51,Pro,Usage commit,13656
D_C0011,C0011,2022-11-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Inbound,New,183499.22,183499.22,13.34,211734.63,Enterprise,Hybrid,2023
D_C0012,C0012,2023-10-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Outbound,New,137616.38,137616.38,5.23,145213.58,Enterprise,Subscription,11290
D_C0013,C0013,2021-01-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Partner,New,140910.74,140910.74,7.16,151784.99,Pro,Subscription,10687
D_C0014,C0014,2022-04-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Inbound,New,133449.2,133449.2,9.22,146995.41,Enterprise,Subscription,7710
D_C0015,C0015,2023-04-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Partner,New,126190.64,126190.64,12.35,143972.58,Enterprise,Usage commit,11424
D_C0016,C0016,2022-08-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Inbound,New,120408.58,120408.58,12.13,137030.83,Enterprise,Subscription,9113
D_C0017,C0017,2022-12-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Outbound,New,305395.64,305395.64,6.8,327686.36,Enterprise,Usage commit,4019
D_C0018,C0018,2021-10-01,SKU1,ER05,Rep_ER05,Enterprise,High-touch AE,Inbound,New,250407.15,250407.15,7.3,270119.86,Pro,Hybrid,3182
D_C0019,C0019,2023-09-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,150631.06,150631.06,5.75,159815.39,Enterprise,Hybrid,7862
D_C0020,C0020,2022-12-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Outbound,New,270724.64,270724.64,9.99,300786.3,Enterprise,Subscription,4734
D_C0021,C0021,2022-05-01,SKU1,ER09,Rep_ER09,Enterprise,High-touch AE,Partner,New,164460.8,164460.8,12.0,186888.56,Pro,Subscription,10014
D_C0022,C0022,2021-05-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Outbound,New,171106.98,171106.98,14.87,200999.78,Pro,Subscription,4924
D_C0023,C0023,2021-12-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,130377.05,130377.05,17.87,158739.48,Enterprise,Hybrid,14625
D_C0024,C0024,2022-10-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Inbound,New,223367.96,223367.96,8.46,244012.61,Enterprise,Usage commit,7036
D_C0025,C0025,2022-02-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Outbound,New,293025.37,293025.37,13.77,339799.27,Pro,Subscription,2072
D_C0026,C0026,2022-02-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Outbound,New,172983.82,172983.82,5.88,183785.69,Pro,Usage commit,6807
D_C0027,C0027,2022-08-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,278458.7,278458.7,16.37,332954.27,Enterprise,Usage commit,6064
D_C0028,C0028,2022-04-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Outbound,New,150007.28,150007.28,6.82,160978.16,Enterprise,Usage commit,10574
D_C0029,C0029,2022-09-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Inbound,New,269132.92,269132.92,10.1,299383.16,Enterprise,Subscription,9727
D_C0030,C0030,2022-07-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Outbound,New,161334.99,161334.99,5.36,170471.2,Enterprise,Subscription,5837
D_C0031,C0031,2023-04-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Outbound,New,211974.66,211974.66,17.6,257239.16,Enterprise,Usage commit,12885
D_C0032,C0032,2022-05-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Inbound,New,129647.97,129647.97,9.07,142579.13,Enterprise,Usage commit,13363
D_C0033,C0033,2023-09-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Outbound,New,232086.94,232086.94,9.72,257085.2,Pro,Subscription,8923
D_C0034,C0034,2021-10-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Inbound,New,145737.53,145737.53,9.4,160859.66,Enterprise,Subscription,5764
D_C0035,C0035,2021-03-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Inbound,New,272921.9,272921.9,7.77,295906.94,Pro,Usage commit,14906
D_C0036,C0036,2021-10-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Outbound,New,233388.16,233388.16,11.86,264789.42,Enterprise,Subscription,14210
D_C0037,C0037,2021-04-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Partner,New,204908.61,204908.61,14.47,239578.18,Enterprise,Hybrid,8940
D_C0038,C0038,2023-05-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Partner,New,171969.43,171969.43,13.76,199402.48,Enterprise,Hybrid,11996
D_C0039,C0039,2021-02-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Partner,New,290806.67,290806.67,15.2,342944.9,Pro,Usage commit,5127
D_C0040,C0040,2022-08-01,SKU1,ER05,Rep_ER05,Enterprise,High-touch AE,Outbound,New,210118.23,210118.23,12.41,239891.87,Enterprise,Usage commit,3861
D_C0041,C0041,2022-05-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Partner,New,236149.92,236149.92,12.13,268736.86,Enterprise,Usage commit,14198
D_C0042,C0042,2023-05-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Outbound,New,225202.31,225202.31,16.3,269051.38,Enterprise,Subscription,7415
D_C0043,C0043,2021-07-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Outbound,New,185667.91,185667.91,8.9,203811.17,Enterprise,Subscription,5688
D_C0044,C0044,2023-06-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Inbound,New,120774.62,120774.62,15.31,142613.54,Enterprise,Usage commit,2537
D_C0045,C0045,2021-11-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Inbound,New,264184.96,264184.96,7.07,284275.34,Enterprise,Hybrid,3633
D_C0046,C0046,2023-02-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,275523.35,275523.35,5.49,291526.92,Enterprise,Hybrid,12926
D_C0047,C0047,2021-10-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Inbound,New,143170.95,143170.95,10.63,160201.04,Enterprise,Hybrid,9534
D_C0048,C0048,2023-07-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,110790.55,110790.55,6.76,118816.96,Pro,Hybrid,10080
D_C0049,C0049,2021-11-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Partner,New,291820.83,291820.83,5.39,308458.57,Enterprise,Hybrid,3283
D_C0050,C0050,2021-06-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Partner,New,181715.38,181715.38,7.12,195652.98,Enterprise,Usage commit,9554
D_C0051,C0051,2022-01-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Partner,New,180350.4,180350.4,6.7,193295.16,Enterprise,Usage commit,5391
D_C0052,C0052,2021-03-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Outbound,New,171484.75,171484.75,6.05,182525.95,Pro,Subscription,12000
D_C0053,C0053,2023-05-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Partner,New,228498.08,228498.08,8.54,249839.38,Pro,Hybrid,9283
D_C0054,C0054,2021-05-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Partner,New,305554.96,305554.96,17.97,372484.4,Enterprise,Subscription,13683
D_C0055,C0055,2021-12-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Inbound,New,123713.5,123713.5,17.21,149425.15,Enterprise,Subscription,6019
D_C0056,C0056,2023-10-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,171100.18,171100.18,17.03,206210.58,Pro,Hybrid,11541
D_C0057,C0057,2023-12-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Outbound,New,281818.55,281818.55,15.0,331552.45,Enterprise,Hybrid,6002
D_C0058,C0058,2022-03-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Partner,New,306625.89,306625.89,12.14,348982.41,Enterprise,Hybrid,4751
D_C0059,C0059,2023-05-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Outbound,New,129854.56,129854.56,11.69,147038.99,Enterprise,Hybrid,12034
D_C0060,C0060,2021-08-01,SKU1,ER09,Rep_ER09,Enterprise,High-touch AE,Outbound,New,135821.19,135821.19,17.89,165417.97,Enterprise,Hybrid,8213
D_C0061,C0061,2022-07-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Partner,New,274962.07,274962.07,6.42,293836.24,Enterprise,Usage commit,14009
D_C0062,C0062,2023-08-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,170066.46,170066.46,11.11,191312.99,Enterprise,Subscription,10336
D_C0063,C0063,2022-05-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Partner,New,256452.76,256452.76,17.04,309121.86,Enterprise,Usage commit,2787
D_C0064,C0064,2022-07-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Partner,New,127924.8,127924.8,7.56,138386.98,Enterprise,Hybrid,4821
D_C0065,C0065,2021-02-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Partner,New,157396.43,157396.43,15.0,185172.81,Enterprise,Hybrid,10566
D_C0066,C0066,2021-12-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Partner,New,271531.74,271531.74,17.77,330220.15,Enterprise,Hybrid,6806
D_C0067,C0067,2021-03-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Inbound,New,254743.14,254743.14,10.69,285248.0,Enterprise,Subscription,2142
D_C0068,C0068,2021-10-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Inbound,New,184703.11,184703.11,11.81,209435.1,Pro,Subscription,6744
D_C0069,C0069,2021-11-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Outbound,New,296709.1,296709.1,9.95,329497.2,Enterprise,Subscription,8253
D_C0070,C0070,2023-03-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Outbound,New,231880.85,231880.85,12.8,265911.6,Enterprise,Usage commit,13521
D_C0071,C0071,2021-02-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Outbound,New,251525.61,251525.61,10.97,282528.4,Enterprise,Usage commit,10205
D_C0072,C0072,2022-02-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Partner,New,234411.86,234411.86,5.9,249120.45,Enterprise,Hybrid,2072
D_C0073,C0073,2021-10-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Partner,New,266833.52,266833.52,5.48,282313.23,Enterprise,Subscription,7787
D_C0074,C0074,2022-09-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Outbound,New,284302.65,284302.65,12.02,323160.91,Enterprise,Hybrid,4180
D_C0075,C0075,2021-11-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Inbound,New,126285.32,126285.32,6.91,135661.84,Enterprise,Subscription,14799
D_C0076,C0076,2021-02-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Outbound,New,177857.63,177857.63,6.64,190516.75,Enterprise,Subscription,13717
D_C0077,C0077,2023-07-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Partner,New,174818.4,174818.4,6.18,186343.06,Enterprise,Usage commit,3112
D_C0078,C0078,2023-02-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,122846.01,122846.01,8.26,133912.99,Pro,Usage commit,3076
D_C0079,C0079,2023-07-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,292622.78,292622.78,5.32,309081.3,Pro,Usage commit,7651
D_C0080,C0080,2022-01-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Partner,New,209882.87,209882.87,17.6,254718.68,Enterprise,Hybrid,8516
D_C0081,C0081,2022-07-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Outbound,New,262035.53,262035.53,14.6,306816.89,Pro,Hybrid,11560
D_C0082,C0082,2022-04-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Outbound,New,265120.45,265120.45,12.77,303919.53,Enterprise,Subscription,7913
D_C0083,C0083,2022-07-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Inbound,New,292753.86,292753.86,11.19,329631.87,Enterprise,Subscription,7985
D_C0084,C0084,2021-09-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,168284.58,168284.58,9.04,185014.94,Enterprise,Usage commit,8845
D_C0085,C0085,2021-10-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Outbound,New,143938.18,143938.18,5.88,152932.42,Enterprise,Usage commit,8787
D_C0086,C0086,2021-01-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Partner,New,133609.38,133609.38,5.46,141322.32,Enterprise,Subscription,8470
D_C0087,C0087,2021-10-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,293210.87,293210.87,9.99,325763.53,Pro,Subscription,7282
D_C0088,C0088,2021-08-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Partner,New,232862.76,232862.76,9.45,257167.76,Pro,Usage commit,14531
D_C0089,C0089,2022-06-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,197721.96,197721.96,10.95,222028.02,Enterprise,Subscription,5362
D_C0090,C0090,2022-06-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Outbound,New,136531.96,136531.96,14.16,159059.39,Enterprise,Subscription,13073
D_C0091,C0091,2022-03-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Outbound,New,266141.79,266141.79,12.61,304531.88,Enterprise,Subscription,12916
D_C0092,C0092,2021-10-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,256865.68,256865.68,10.9,288296.82,Enterprise,Hybrid,6044
D_C0093,C0093,2021-02-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Inbound,New,146801.24,146801.24,16.76,176365.18,Pro,Usage commit,2979
D_C0094,C0094,2023-12-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Partner,New,254995.65,254995.65,16.12,304015.81,Pro,Usage commit,2409
D_C0095,C0095,2021-11-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Outbound,New,172247.27,172247.27,5.55,182368.05,Enterprise,Subscription,8938
D_C0096,C0096,2022-04-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Partner,New,218621.32,218621.32,7.23,235666.02,Pro,Usage commit,4744
D_C0097,C0097,2023-12-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Partner,New,168051.65,168051.65,8.99,184652.08,Enterprise,Usage commit,8982
D_C0098,C0098,2022-02-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Partner,New,205195.25,205195.25,15.72,243470.65,Pro,Usage commit,6186
D_C0099,C0099,2021-10-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Partner,New,172701.52,172701.52,5.55,182843.89,Enterprise,Hybrid,11008
D_C0100,C0100,2022-05-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Partner,New,258430.77,258430.77,10.87,289963.23,Enterprise,Hybrid,9494
D_C0101,C0101,2022-06-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Partner,New,249756.73,249756.73,17.59,303050.3,Pro,Hybrid,13125
D_C0102,C0102,2023-06-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Outbound,New,235502.93,235502.93,6.23,251160.88,Enterprise,Usage commit,11033
D_C0103,C0103,2021-03-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Inbound,New,319099.92,319099.92,8.43,348481.23,Pro,Subscription,8128
D_C0104,C0104,2022-03-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Partner,New,249980.47,249980.47,7.98,271659.58,Enterprise,Subscription,11305
D_C0105,C0105,2023-03-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Inbound,New,216566.44,216566.44,5.54,229279.98,Enterprise,Subscription,9371
D_C0106,C0106,2022-12-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Inbound,New,122006.71,122006.71,17.93,148656.93,Pro,Usage commit,7286
D_C0107,C0107,2022-07-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Partner,New,169973.13,169973.13,6.0,180830.53,Enterprise,Hybrid,13722
D_C0108,C0108,2021-02-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,124365.19,124365.19,10.24,138559.28,Pro,Hybrid,5352
D_C0109,C0109,2021-11-01,SKU1,ER07,Rep_ER07,Enterprise,High-touch AE,Inbound,New,227565.31,227565.31,13.25,262324.09,Pro,Hybrid,13848
D_C0110,C0110,2022-06-01,SKU1,ER20,Rep_ER20,Enterprise,High-touch AE,Partner,New,198047.52,198047.52,14.43,231440.23,Enterprise,Hybrid,11941
