Customer_ID,Month,Consumption_Units
C0001,2023-03-01,20231.94
C0001,2023-04-01,20407.93
C0001,2023-05-01,20909.39
C0001,2023-06-01,21140.44
C0001,2023-07-01,21465.15
C0001,2023-08-01,21772.39
C0001,2023-09-01,22769.05
C0001,2023-10-01,22707.58
C0001,2023-11-01,23173.88
C0001,2023-12-01,23629.16
C0002,2021-01-01,19579.61
C0002,2021-02-01,19882.12
C0002,2021-03-01,19956.02
C0002,2021-04-01,20268.62
C0002,2021-05-01,20723.01
C0002,2021-06-01,20597.62
C0002,2021-07-01,20842.98
C0002,2021-08-01,20955.83
C0002,2021-09-01,21684.89
C0002,2021-10-01,22480.77
C0002,2021-11-01,22785.48
C0002,2021-12-01,23426.26
C0002,2022-01-01,23045.92
C0002,2022-02-01,23192.99
C0002,2022-03-01,23013.13
C0002,2022-04-01,23236.16
C0002,2022-05-01,23838.72
C0002,2022-06-01,23937.72
C0002,2022-07-01,24104.78
C0002,2022-08-01,24983.44
C0002,2022-09-01,25348.05
C0002,2022-10-01,26585.37
C0002,2022-11-01,26738.28
C0002,2022-12-01,26183.08
C0002,2023-01-01,26559.96
C0002,2023-02-01,26651.13
C0002,2023-03-01,26264.71
C0002,2023-04-01,26099.54
C0002,2023-05-01,25584.75
C0002,2023-06-01,26551.69
C0002,2023-07-01,26106.34
C0002,2023-08-01,27036.44
C0002,2023-09-01,27081.82
C0002,2023-10-01,27312.23
C0002,2023-11-01,27636.77
C0002,2023-12-01,28247.38
C0003,2022-09-01,20036.13
C0003,2022-10-01,19916.54
C0003,2022-11-01,19893.07
C0003,2022-12-01,20328.07
C0003,2023-01-01,19838.85
C0003,2023-02-01,19884.28
C0003,2023-03-01,20092.08
C0003,2023-04-01,20218.96
C0003,2023-05-01,20886.0
C0003,2023-06-01,21118.83
C0003,2023-07-01,20844.35
C0003,2023-08-01,20779.07
C0003,2023-09-01,20791.45
C0003,2023-10-01,21172.84
C0003,2023-11-01,21504.65
C0003,2023-12-01,21681.34
C0004,2023-02-01,25771.27
C0004,2023-03-01,26395.94
C0004,2023-04-01,27049.79
C0004,2023-05-01,27674.22
C0004,2023-06-01,28216.43
C0004,2023-07-01,28808.59
C0004,2023-08-01,28452.6
C0004,2023-09-01,28928.77
C0004,2023-10-01,28825.68
C0004,2023-11-01,29876.6
C0004,2023-12-01,30251.11
C0005,2022-04-01,17879.3
C0005,2022-05-01,18541.18
C0005,2022-06-01,18898.72
C0005,2022-07-01,19249.95
C0005,2022-08-01,19350.6
C0005,2022-09-01,19630.57
C0005,2022-10-01,19658.38
C0005,2022-11-01,19430.14
C0005,2022-12-01,19823.62
C0005,2023-01-01,20044.98
C0005,2023-02-01,19829.94
C0005,2023-03-01,19580.02
C0005,2023-04-01,19429.8
C0005,2023-05-01,19720.36
C0005,2023-06-01,19631.86
C0005,2023-07-01,19903.09
C0005,2023-08-01,19679.71
C0005,2023-09-01,19789.21
C0005,2023-10-01,20097.77
C0005,2023-11-01,20026.43
C0005,2023-12-01,20006.42
C0006,2021-07-01,16836.02
C0006,2021-08-01,17049.14
C0006,2021-09-01,17187.3
C0006,2021-10-01,16860.15
C0006,2021-11-01,16836.66
C0006,2021-12-01,16978.63
C0006,2022-01-01,17288.42
C0006,2022-02-01,17440.62
C0006,2022-03-01,17110.86
C0006,2022-04-01,17228.85
C0006,2022-05-01,17356.45
C0006,2022-06-01,17591.3
C0006,2022-07-01,17871.05
C0006,2022-08-01,17772.18
C0006,2022-09-01,17901.96
C0006,2022-10-01,18221.61
C0006,2022-11-01,18584.85
C0006,2022-12-01,18481.88
C0006,2023-01-01,18426.38
C0006,2023-02-01,18648.57
C0006,2023-03-01,18702.12
C0006,2023-04-01,18778.13
C0006,2023-05-01,19173.94
C0006,2023-06-01,19377.56
C0006,2023-07-01,19709.33
C0006,2023-08-01,20055.95
C0006,2023-09-01,19901.53
C0006,2023-10-01,20288.69
C0006,2023-11-01,20444.54
C0006,2023-12-01,20122.24
C0007,2021-07-01,26167.42
C0007,2021-08-01,26247.34
C0007,2021-09-01,26909.82
C0007,2021-10-01,27350.92
C0007,2021-11-01,27692.16
C0007,2021-12-01,28659.12
C0007,2022-01-01,28816.35
C0007,2022-02-01,28277.08
C0007,2022-03-01,28623.78
C0007,2022-04-01,28709.1
C0007,2022-05-01,28819.12
C0007,2022-06-01,28689.38
C0007,2022-07-01,28532.82
C0007,2022-08-01,28546.07
C0007,2022-09-01,28998.83
C0007,2022-10-01,28776.86
C0007,2022-11-01,29276.98
C0007,2022-12-01,29330.37
C0007,2023-01-01,29690.41
C0007,2023-02-01,30657.09
C0007,2023-03-01,30745.13
C0007,2023-04-01,31148.69
C0007,2023-05-01,31396.34
C0007,2023-06-01,32176.67
C0007,2023-07-01,31771.01
C0007,2023-08-01,32276.53
C0007,2023-09-01,32359.53
C0007,2023-10-01,32026.16
C0007,2023-11-01,31899.19
C0007,2023-12-01,31960.89
C0008,2023-02-01,25244.46
C0008,2023-03-01,26221.38
C0008,2023-04-01,26431.26
C0008,2023-05-01,26884.52
C0008,2023-06-01,26638.46
C0008,2023-07-01,26739.24
C0008,2023-08-01,26299.88
C0008,2023-09-01,26340.47
C0008,2023-10-01,26055.09
C0008,2023-11-01,25879.37
C0008,2023-12-01,26138.93
C0009,2021-06-01,25027.5
C0009,2021-07-01,24469.57
C0009,2021-08-01,24477.23
C0009,2021-09-01,24949.44
C0009,2021-10-01,25039.95
C0009,2021-11-01,25241.18
C0009,2021-12-01,25702.61
C0009,2022-01-01,25885.22
C0009,2022-02-01,25287.89
C0009,2022-03-01,25601.17
C0009,2022-04-01,26326.55
C0009,2022-05-01,26736.36
C0009,2022-06-01,26762.66
C0009,2022-07-01,27584.78
C0009,2022-08-01,27253.51
C0009,2022-09-01,28073.97
C0009,2022-10-01,28091.33
C0009,2022-11-01,27690.21
C0009,2022-12-01,28126.61
C0009,2023-01-01,28638.91
C0009,2023-02-01,28986.49
C0009,2023-03-01,29443.29
C0009,2023-04-01,30127.78
C0009,2023-05-01,30515.64
C0009,2023-06-01,31269.46
C0009,2023-07-01,31703.79
C0009,2023-08-01,32289.82
C0009,2023-09-01,32297.1
C0009,2023-10-01,32279.93
C0009,2023-11-01,32021.31
C0009,2023-12-01,32584.31
C0010,2021-03-01,15045.25
C0010,2021-04-01,14971.16
C0010,2021-05-01,14850.61
C0010,2021-06-01,15089.0
C0010,2021-07-01,14834.13
C0010,2021-08-01,15246.58
C0010,2021-09-01,15497.07
C0010,2021-10-01,15521.78
C0010,2021-11-01,15642.63
C0010,2021-12-01,15764.75
C0010,2022-01-01,16081.34
C0010,2022-02-01,16312.59
C0010,2022-03-01,16747.63
C0010,2022-04-01,17304.41
C0010,2022-05-01,17769.33
C0010,2022-06-01,17882.34
C0010,2022-07-01,18139.43
C0010,2022-08-01,18271.03
C0010,2022-09-01,18559.28
C0010,2022-10-01,17987.41
