Customer_ID,Company_Name,Segment_Current,Start_Date,End_Date
C0001,Enterprise_1,Enterprise,2023-03-01,
C0002,Enterprise_2,Enterprise,2021-01-01,
C0003,Enterprise_3,Enterprise,2022-09-01,
C0004,Enterprise_4,Enterprise,2023-02-01,
C0005,Enterprise_5,Enterprise,2022-04-01,
C0006,Enterprise_6,Enterprise,2021-07-01,
C0007,Enterprise_7,Enterprise,2021-07-01,
C0008,Enterprise_8,Enterprise,2023-02-01,
C0009,Enterprise_9,Enterprise,2021-06-01,
C0010,Enterprise_10,Enterprise,2021-03-01,
C0011,Enterprise_11,Enterprise,2022-11-01,
C0012,Enterprise_12,Enterprise,2023-10-01,
C0013,Enterprise_13,Enterprise,2021-01-01,
C0014,Enterprise_14,Enterprise,2022-04-01,
C0015,Enterprise_15,Enterprise,2023-04-01,
C0016,Enterprise_16,Enterprise,2022-08-01,
C0017,Enterprise_17,Enterprise,2022-12-01,
C0018,Enterprise_18,Enterprise,2021-10-01,
C0019,Enterprise_19,Enterprise,2023-09-01,
C0020,Enterprise_20,Enterprise,2022-12-01,
C0021,Enterprise_21,Enterprise,2022-05-01,
C0022,Enterprise_22,Enterprise,2021-05-01,
C0023,Enterprise_23,Enterprise,2021-12-01,
C0024,Enterprise_24,Enterprise,2022-10-01,
C0025,Enterprise_25,Enterprise,2022-02-01,
C0026,Enterprise_26,Enterprise,2022-02-01,
C0027,Enterprise_27,Enterprise,2022-08-01,
C0028,Enterprise_28,Enterprise,2022-04-01,
C0029,Enterprise_29,Enterprise,2022-09-01,
C0030,Enterprise_30,Enterprise,2022-07-01,
C0031,Enterprise_31,Enterprise,2023-04-01,
C0032,Enterprise_32,Enterprise,2022-05-01,
C0033,Enterprise_33,Enterprise,2023-09-01,
C0034,Enterprise_34,Enterprise,2021-10-01,
C0035,Enterprise_35,Enterprise,2021-03-01,
C0036,Enterprise_36,Enterprise,2021-10-01,
C0037,Enterprise_37,Enterprise,2021-04-01,
C0038,Enterprise_38,Enterprise,2023-05-01,
C0039,Enterprise_39,Enterprise,2021-02-01,
C0040,Enterprise_40,Enterprise,2022-08-01,
C0041,Enterprise_41,Enterprise,2022-05-01,
C0042,Enterprise_42,Enterprise,2023-05-01,
C0043,Enterprise_43,Enterprise,2021-07-01,
C0044,Enterprise_44,Enterprise,2023-06-01,
C0045,Enterprise_45,Enterprise,2021-11-01,
C0046,Enterprise_46,Enterprise,2023-02-01,
C0047,Enterprise_47,Enterprise,2021-10-01,
C0048,Enterprise_48,Enterprise,2023-07-01,
C0049,Enterprise_49,Enterprise,2021-11-01,
C0050,Enterprise_50,Enterprise,2021-06-01,
C0051,Enterprise_51,Enterprise,2022-01-01,
C0052,Enterprise_52,Enterprise,2021-03-01,
C0053,Enterprise_53,Enterprise,2023-05-01,
C0054,Enterprise_54,Enterprise,2021-05-01,
C0055,Enterprise_55,Enterprise,2021-12-01,
C0056,Enterprise_56,Enterprise,2023-10-01,
C0057,Enterprise_57,Enterprise,2023-12-01,
C0058,Enterprise_58,Enterprise,2022-03-01,
C0059,Enterprise_59,Enterprise,2023-05-01,
C0060,Enterprise_60,Enterprise,2021-08-01,
C0061,Enterprise_61,Enterprise,2022-07-01,
C0062,Enterprise_62,Enterprise,2023-08-01,
C0063,Enterprise_63,Enterprise,2022-05-01,
C0064,Enterprise_64,Enterprise,2022-07-01,
C0065,Enterprise_65,Enterprise,2021-02-01,
C0066,Enterprise_66,Enterprise,2021-12-01,
C0067,Enterprise_67,Enterprise,2021-03-01,
C0068,Enterprise_68,Enterprise,2021-10-01,
C0069,Enterprise_69,Enterprise,2021-11-01,
C0070,Enterprise_70,Enterprise,2023-03-01,
C0071,Enterprise_71,Enterprise,2021-02-01,
C0072,Enterprise_72,Enterprise,2022-02-01,
C0073,Enterprise_73,Enterprise,2021-10-01,
C0074,Enterprise_74,Enterprise,2022-09-01,
C0075,Enterprise_75,Enterprise,2021-11-01,
C0076,Enterprise_76,Enterprise,2021-02-01,
C0077,Enterprise_77,Enterprise,2023-07-01,
C0078,Enterprise_78,Enterprise,2023-02-01,
C0079,Enterprise_79,Enterprise,2023-07-01,
C0080,Enterprise_80,Enterprise,2022-01-01,
C0081,Enterprise_81,Enterprise,2022-07-01,
