Ticket_ID,Customer_ID,Created_Date,Closed_Date,Channel,Severity,Status,Category,Root_Cause,Ticket_Text
T000001,C0001,2023-11-25,2023-11-28,Portal,P1,Closed,Performance,Capacity,Data sync failing
T000002,C0001,2023-10-13,2023-10-17,Chat,P2,Closed,Onboarding,Capacity,Data sync failing
T000003,C0001,2023-04-30,2023-05-07,Email,P1,Closed,Performance,Config,Latency issue
T000004,C0002,2021-10-07,2021-10-11,Email,P3,Closed,Integration,Config,Unexpected billing
T000005,C0002,2022-04-14,2022-04-15,Email,P2,Closed,Billing,Unknown,Auth failure
T000006,C0002,2023-06-21,2023-06-29,Portal,P3,Closed,Billing,Unknown,Data sync failing
T000007,C0002,2021-10-07,2021-10-11,Chat,P4,Closed,Billing,Config,Integration error
T000008,C0002,2022-03-13,2022-03-22,Chat,P3,Closed,Integration,Product,Usage spike
T000009,C0003,2022-10-11,2022-10-13,Chat,P1,Closed,Onboarding,Bug,Data sync failing
T000010,C0003,2022-12-10,2022-12-15,Portal,P2,Closed,Onboarding,Bug,Data sync failing
T000011,C0003,2022-12-02,2022-12-11,Portal,P3,Closed,Performance,Bug,Data sync failing
T000012,C0004,2023-11-24,2023-12-01,Chat,P4,Closed,Performance,Unknown,Auth failure
T000013,C0004,2023-11-07,2023-11-16,Chat,P1,Closed,Reliability,Unknown,Integration error
T000014,C0004,2023-06-10,2023-06-11,Chat,P4,Closed,Performance,Unknown,Unexpected billing
T000015,C0005,2023-09-02,2023-09-10,Chat,P2,Closed,Reliability,Config,Data sync failing
T000016,C0005,2023-05-15,2023-05-24,Email,P4,Closed,Onboarding,Capacity,Integration error
T000017,C0006,2022-03-25,2022-03-29,Email,P3,Closed,Reliability,Unknown,Latency issue
T000018,C0006,2023-05-29,2023-06-06,Email,P3,Closed,Billing,Bug,Data sync failing
T000019,C0006,2022-09-07,2022-09-09,Email,P4,Closed,Reliability,Unknown,Integration error
T000020,C0006,2023-08-11,2023-08-18,Chat,P3,Closed,Performance,Unknown,Auth failure
T000021,C0007,2023-05-08,2023-05-09,Email,P1,Closed,Onboarding,Capacity,Unexpected billing
T000022,C0007,2022-01-05,2022-01-14,Email,P3,Closed,Reliability,Unknown,Auth failure
T000023,C0007,2023-05-02,2023-05-07,Email,P2,Closed,Onboarding,Capacity,Usage spike
T000024,C0007,2022-02-16,2022-02-17,Portal,P3,Closed,Integration,Product,Unexpected billing
T000025,C0008,2023-08-08,2023-08-10,Portal,P1,Closed,Onboarding,Unknown,Integration error
T000026,C0008,2023-04-21,2023-04-30,Portal,P3,Closed,Billing,Bug,Integration error
T000027,C0009,2023-12-05,2023-12-06,Email,P2,Closed,Integration,Config,Data sync failing
T000028,C0009,2022-04-05,2022-04-13,Portal,P1,Closed,Reliability,Config,Auth failure
T000029,C0009,2022-01-02,2022-01-05,Chat,P3,Closed,Integration,Product,Usage spike
T000030,C0009,2022-05-05,2022-05-12,Portal,P4,Closed,Integration,Config,Unexpected billing
T000031,C0010,2022-10-19,2022-10-24,Portal,P1,Closed,Performance,Product,Integration error
T000032,C0010,2021-08-25,2021-08-31,Chat,P2,Closed,Integration,Bug,Usage spike
T000033,C0011,2023-09-19,2023-09-21,Chat,P4,Closed,Billing,Config,Auth failure
T000034,C0011,2023-01-18,2023-01-21,Email,P4,Closed,Reliability,Product,Auth failure
T000035,C0011,2023-02-04,2023-02-09,Chat,P3,Closed,Billing,Capacity,Unexpected billing
T000036,C0012,2023-12-25,2023-12-31,Chat,P2,Closed,Reliability,Unknown,Integration error
T000037,C0012,2023-12-05,2023-12-14,Portal,P1,Closed,Reliability,Capacity,Unexpected billing
T000038,C0012,2023-10-16,2023-10-25,Email,P4,Closed,Integration,Unknown,Auth failure
T000039,C0013,2023-11-08,2023-11-11,Email,P3,Closed,Reliability,Bug,Unexpected billing
T000040,C0013,2021-08-04,2021-08-13,Portal,P1,Closed,Reliability,Config,Integration error
