Customer_ID,Month,Consumption_Units
C0001,2021-07-01,6264.52
C0001,2021-08-01,18310.86
C0001,2021-09-01,14256.88
C0001,2021-10-01,15258.1
C0001,2021-11-01,20285.93
C0001,2021-12-01,18745.95
C0001,2022-01-01,6524.42
C0001,2022-02-01,7864.39
C0001,2022-03-01,13780.77
C0001,2022-04-01,21640.12
C0001,2022-05-01,28818.79
C0001,2022-06-01,7196.91
C0001,2022-07-01,34102.18
C0001,2022-08-01,6329.63
C0001,2022-09-01,58731.39
C0001,2022-10-01,17230.8
C0001,2022-11-01,13532.78
C0001,2022-12-01,70357.41
C0001,2023-01-01,36663.74
C0001,2023-02-01,97311.07
C0001,2023-03-01,39113.86
C0001,2023-04-01,78770.08
C0001,2023-05-01,16499.25
C0001,2023-06-01,97246.66
C0001,2023-07-01,22027.92
C0001,2023-08-01,64965.18
C0001,2023-09-01,28133.76
C0001,2023-10-01,30294.92
C0001,2023-11-01,66746.48
C0001,2023-12-01,24562.35
C0002,2022-03-01,12746.37
C0002,2022-04-01,18814.55
C0002,2022-05-01,12834.55
C0002,2022-06-01,16527.27
C0002,2022-07-01,10424.25
C0002,2022-08-01,23730.83
C0002,2022-09-01,26151.91
C0002,2022-10-01,21179.03
C0002,2022-11-01,15419.01
C0002,2022-12-01,10781.48
C0002,2023-01-01,13993.93
C0002,2023-02-01,30758.8
C0002,2023-03-01,27349.92
C0002,2023-04-01,30639.36
C0002,2023-05-01,8463.01
C0002,2023-06-01,20780.92
C0002,2023-07-01,6265.38
C0002,2023-08-01,30418.14
C0002,2023-09-01,92656.57
C0002,2023-10-01,26481.86
C0002,2023-11-01,19763.7
C0002,2023-12-01,14840.09
C0003,2021-07-01,18224.94
C0003,2021-08-01,14066.56
C0003,2021-09-01,7201.9
C0003,2021-10-01,7959.12
C0003,2021-11-01,9539.84
C0003,2021-12-01,17366.54
C0003,2022-01-01,18190.67
C0003,2022-02-01,24208.87
C0003,2022-03-01,22002.49
C0003,2022-04-01,39454.26
C0003,2022-05-01,15379.77
C0003,2022-06-01,12356.5
C0003,2022-07-01,10110.36
C0003,2022-08-01,26516.89
C0003,2022-09-01,43912.91
C0003,2022-10-01,26154.49
C0003,2022-11-01,20954.76
C0003,2022-12-01,66026.06
C0003,2023-01-01,62196.5
C0003,2023-02-01,94555.44
C0003,2023-03-01,69343.68
C0003,2023-04-01,20543.7
C0003,2023-05-01,58247.68
C0003,2023-06-01,70681.53
C0003,2023-07-01,110668.79
C0003,2023-08-01,25825.92
C0003,2023-09-01,30607.31
C0003,2023-10-01,11260.3
C0003,2023-11-01,49369.78
C0003,2023-12-01,2402.83
C0004,2021-11-01,11146.09
C0004,2021-12-01,5797.6
C0004,2022-01-01,13911.1
C0004,2022-02-01,19258.19
C0004,2022-03-01,15958.05
C0004,2022-04-01,17084.21
C0004,2022-05-01,26322.35
C0004,2022-06-01,7602.94
C0004,2022-07-01,33481.86
C0004,2022-08-01,20388.21
C0004,2022-09-01,16642.41
C0004,2022-10-01,28731.02
C0004,2022-11-01,21585.81
C0004,2022-12-01,22592.16
C0004,2023-01-01,30195.23
C0004,2023-02-01,18577.15
C0004,2023-03-01,10360.64
C0004,2023-04-01,40733.43
C0004,2023-05-01,26115.82
C0004,2023-06-01,85862.85
C0004,2023-07-01,14358.75
C0004,2023-08-01,20202.63
C0004,2023-09-01,104556.51
C0004,2023-10-01,43635.16
C0004,2023-11-01,24630.08
C0004,2023-12-01,82314.18
C0005,2021-04-01,15691.67
C0005,2021-05-01,7758.67
C0005,2021-06-01,16314.48
C0005,2021-07-01,16686.5
C0005,2021-08-01,16470.99
C0005,2021-09-01,12852.78
C0005,2021-10-01,33996.44
C0005,2021-11-01,11670.99
C0005,2021-12-01,17874.2
C0005,2022-01-01,24461.68
C0005,2022-02-01,16872.99
