Customer_ID,Company_Name,Segment_Current,Start_Date,End_Date
C0001,Company_1,Enterprise,2021-07-01,
C0002,Company_2,Enterprise,2022-03-01,
C0003,Company_3,Enterprise,2021-07-01,
C0004,Company_4,Enterprise,2021-11-01,
C0005,Company_5,Enterprise,2021-04-01,2022-12-01
C0006,Company_6,Enterprise,2021-02-01,
C0007,Company_7,Enterprise,2021-06-01,2022-12-01
C0008,Company_8,Enterprise,2021-12-01,
C0009,Company_9,Enterprise,2021-12-01,2023-12-01
C0010,Company_10,Enterprise,2022-04-01,
C0011,Company_11,Enterprise,2022-03-01,
C0012,Company_12,Enterprise,2021-12-01,
C0013,Company_13,Enterprise,2021-03-01,
C0014,Company_14,Enterprise,2021-07-01,
C0015,Company_15,Enterprise,2021-07-01,2023-12-01
C0016,Company_16,Enterprise,2022-06-01,
C0017,Company_17,Enterprise,2021-02-01,
C0018,Company_18,Enterprise,2022-03-01,
C0019,Company_19,Enterprise,2021-12-01,
C0020,Company_20,Enterprise,2022-03-01,
C0021,Company_21,Enterprise,2022-05-01,
C0022,Company_22,Enterprise,2021-08-01,
C0023,Company_23,Enterprise,2021-06-01,
C0024,Company_24,Enterprise,2021-04-01,
C0025,Company_25,Enterprise,2022-06-01,
C0026,Company_26,Enterprise,2021-02-01,
C0027,Company_27,Enterprise,2021-04-01,
C0028,Company_28,Enterprise,2022-04-01,
C0029,Company_29,Enterprise,2022-02-01,
C0030,Company_30,Enterprise,2021-08-01,
C0031,Company_31,Enterprise,2022-01-01,
C0032,Company_32,Enterprise,2022-01-01,2023-12-01
C0033,Company_33,Enterprise,2022-01-01,2023-12-01
C0034,Company_34,Enterprise,2021-09-01,
C0035,Company_35,Enterprise,2021-12-01,
C0036,Company_36,Enterprise,2021-11-01,
C0037,Company_37,Enterprise,2021-08-01,
C0038,Company_38,Enterprise,2021-01-01,
C0039,Company_39,Enterprise,2021-10-01,
C0040,Company_40,Enterprise,2021-09-01,
C0041,Company_41,Enterprise,2021-09-01,
C0042,Company_42,Enterprise,2021-02-01,2022-12-01
C0043,Company_43,Enterprise,2021-03-01,
C0044,Company_44,Enterprise,2021-03-01,
C0045,Company_45,Enterprise,2021-05-01,
C0046,Company_46,Enterprise,2021-03-01,
C0047,Company_47,Enterprise,2022-02-01,
C0048,Company_48,Enterprise,2021-09-01,
C0049,Company_49,Enterprise,2021-10-01,
C0050,Company_50,Enterprise,2021-07-01,
C0051,Company_51,Enterprise,2021-04-01,
C0052,Company_52,Enterprise,2021-07-01,
