Ticket_ID,Customer_ID,Created_Date,Closed_Date,Channel,Severity,Status,Category,Root_Cause,Ticket_Text
T00001,C0001,2022-08-12,2022-08-22,Chat,P1,Closed,Billing,Config,Unexpected billing spike
T00002,C0001,2023-01-29,2023-02-02,Portal,P1,Closed,Billing,Config,Issue with compute workload
T00003,C0001,2023-10-23,2023-11-05,Chat,P3,Closed,Integration,Product,Integration timeout
T00004,C0001,2021-08-28,2021-08-30,Email,P1,Closed,Billing,Product,Issue with compute workload
T00005,C0003,2023-06-29,2023-07-12,Portal,P3,Closed,Integration,Product,Integration timeout
T00006,C0003,2023-06-23,2023-07-04,Portal,P3,Closed,Integration,Config,Integration timeout
T00007,C0003,2022-11-06,2022-11-08,Email,P1,Closed,Performance,Config,Unexpected billing spike
T00008,C0004,2023-07-07,2023-07-18,Portal,P1,Closed,Integration,Bug,Unexpected billing spike
T00009,C0004,2022-10-24,2022-10-25,Email,P1,Closed,Billing,Bug,Issue with compute workload
T00010,C0004,2022-03-02,2022-03-12,Portal,P2,Closed,Billing,Bug,Unexpected billing spike
T00011,C0004,2022-10-11,2022-10-16,Chat,P2,Closed,Billing,Config,Unexpected billing spike
T00012,C0005,2022-05-31,2022-06-11,Chat,P1,Closed,Performance,Product,Integration timeout
T00013,C0005,2022-01-02,2022-01-03,Email,P3,Closed,Integration,Bug,Integration timeout
T00014,C0005,2021-10-23,2021-10-27,Portal,P3,Closed,Billing,Product,Integration timeout
T00015,C0006,2022-09-08,2022-09-09,Portal,P2,Closed,Billing,Product,Issue with compute workload
T00016,C0006,2023-03-24,2023-03-28,Email,P2,Closed,Performance,Config,Unexpected billing spike
T00017,C0006,2023-04-29,2023-05-13,Portal,P2,Closed,Performance,Product,Integration timeout
T00018,C0007,2021-06-04,2021-06-17,Email,P3,Closed,Integration,Config,Issue with compute workload
T00019,C0007,2022-02-16,2022-02-23,Chat,P3,Closed,Billing,Config,Integration timeout
T00020,C0008,2022-12-14,2022-12-16,Portal,P1,Closed,Performance,Bug,Unexpected billing spike
T00021,C0008,2023-03-10,2023-03-11,Chat,P3,Closed,Integration,Product,Integration timeout
T00022,C0008,2022-05-25,2022-05-30,Email,P1,Closed,Billing,Product,Unexpected billing spike
T00023,C0009,2022-04-04,2022-04-08,Email,P2,Closed,Billing,Product,Integration timeout
T00024,C0009,2022-08-25,2022-09-05,Chat,P2,Closed,Billing,Config,Unexpected billing spike
T00025,C0010,2023-10-08,2023-10-21,Email,P3,Closed,Performance,Product,Unexpected billing spike
T00026,C0010,2023-05-13,2023-05-26,Portal,P1,Closed,Integration,Config,Integration timeout
T00027,C0010,2023-05-21,2023-05-22,Email,P3,Closed,Integration,Bug,Integration timeout
T00028,C0011,2023-06-16,2023-06-28,Email,P2,Closed,Billing,Product,Integration timeout
T00029,C0012,2023-02-11,2023-02-13,Email,P1,Closed,Billing,Product,Issue with compute workload
T00030,C0012,2023-02-22,2023-03-03,Chat,P1,Closed,Integration,Bug,Integration timeout
T00031,C0013,2021-06-10,2021-06-15,Portal,P2,Closed,Performance,Config,Unexpected billing spike
T00032,C0014,2022-11-25,2022-12-06,Chat,P2,Closed,Integration,Product,Integration timeout
T00033,C0014,2022-09-16,2022-09-26,Chat,P1,Closed,Integration,Config,Unexpected billing spike
T00034,C0015,2022-03-09,2022-03-22,Chat,P2,Closed,Billing,Bug,Unexpected billing spike
T00035,C0016,2022-08-22,2022-09-02,Portal,P2,Closed,Billing,Config,Integration timeout
T00036,C0017,2021-08-24,2021-09-01,Email,P3,Closed,Billing,Config,Issue with compute workload
T00037,C0017,2023-05-01,2023-05-12,Chat,P2,Closed,Integration,Config,Integration timeout
T00038,C0019,2023-10-23,2023-11-03,Portal,P1,Closed,Performance,Product,Integration timeout
T00039,C0019,2023-02-10,2023-02-20,Chat,P1,Closed,Integration,Bug,Unexpected billing spike
T00040,C0019,2023-02-03,2023-02-05,Portal,P1,Closed,Performance,Bug,Issue with compute workload
T00041,C0019,2023-05-08,2023-05-17,Portal,P1,Closed,Integration,Product,Issue with compute workload
T00042,C0020,2023-08-24,2023-09-01,Chat,P2,Closed,Billing,Config,Issue with compute workload
T00043,C0020,2022-07-09,2022-07-10,Portal,P3,Closed,Performance,Config,Issue with compute workload
T00044,C0021,2023-09-28,2023-10-01,Email,P3,Closed,Integration,Bug,Issue with compute workload
T00045,C0021,2022-10-16,2022-10-24,Chat,P3,Closed,Integration,Product,Integration timeout
T00046,C0022,2023-05-18,2023-05-30,Email,P2,Closed,Integration,Config,Unexpected billing spike
T00047,C0022,2022-10-15,2022-10-26,Email,P3,Closed,Performance,Product,Issue with compute workload
T00048,C0022,2023-10-03,2023-10-07,Portal,P1,Closed,Performance,Product,Integration timeout
T00049,C0022,2023-02-22,2023-02-23,Chat,P1,Closed,Integration,Product,Issue with compute workload
T00050,C0023,2021-12-19,2021-12-22,Portal,P3,Closed,Integration,Product,Issue with compute workload
T00051,C0023,2022-08-06,2022-08-14,Portal,P1,Closed,Performance,Product,Integration timeout
T00052,C0023,2022-01-01,2022-01-10,Portal,P2,Closed,Integration,Bug,Issue with compute workload
T00053,C0024,2022-10-18,2022-10-29,Chat,P1,Closed,Integration,Config,Integration timeout
T00054,C0024,2021-09-12,2021-09-17,Email,P1,Closed,Performance,Bug,Issue with compute workload
T00055,C0024,2022-10-04,2022-10-13,Portal,P1,Closed,Integration,Bug,Unexpected billing spike
T00056,C0025,2023-01-18,2023-02-01,Email,P2,Closed,Performance,Config,Issue with compute workload
T00057,C0026,2023-03-19,2023-03-28,Chat,P3,Closed,Integration,Product,Issue with compute workload
T00058,C0026,2022-01-09,2022-01-10,Email,P3,Closed,Performance,Product,Issue with compute workload
T00059,C0027,2022-06-27,2022-06-30,Portal,P1,Closed,Integration,Bug,Issue with compute workload
T00060,C0027,2021-09-25,2021-10-01,Email,P1,Closed,Performance,Bug,Issue with compute workload
T00061,C0027,2023-04-11,2023-04-19,Portal,P2,Closed,Integration,Product,Issue with compute workload
T00062,C0028,2022-11-01,2022-11-10,Chat,P3,Closed,Billing,Product,Issue with compute workload
T00063,C0028,2022-08-26,2022-08-30,Portal,P2,Closed,Performance,Bug,Issue with compute workload
T00064,C0029,2022-11-08,2022-11-18,Email,P1,Closed,Billing,Bug,Issue with compute workload
T00065,C0029,2023-02-04,2023-02-15,Email,P2,Closed,Performance,Bug,Unexpected billing spike
T00066,C0030,2022-04-25,2022-04-27,Chat,P3,Closed,Integration,Config,Integration timeout
T00067,C0030,2023-06-29,2023-07-03,Email,P1,Closed,Billing,Bug,Issue with compute workload
T00068,C0030,2022-03-30,2022-04-12,Portal,P3,Closed,Integration,Config,Issue with compute workload
T00069,C0030,2022-12-25,2022-12-28,Chat,P2,Closed,Billing,Product,Integration timeout
T00070,C0031,2022-09-10,2022-09-24,Email,P3,Closed,Integration,Product,Issue with compute workload
T00071,C0032,2023-01-24,2023-02-07,Chat,P1,Closed,Billing,Product,Integration timeout
T00072,C0032,2023-05-18,2023-05-21,Portal,P3,Closed,Billing,Bug,Issue with compute workload
T00073,C0033,2022-12-11,2022-12-15,Chat,P1,Closed,Integration,Config,Issue with compute workload
T00074,C0033,2023-05-07,2023-05-19,Chat,P1,Closed,Performance,Config,Integration timeout
T00075,C0033,2023-11-01,2023-11-15,Chat,P3,Closed,Performance,Bug,Issue with compute workload
T00076,C0034,2023-07-31,2023-08-01,Chat,P3,Closed,Performance,Product,Unexpected billing spike
T00077,C0035,2022-11-04,2022-11-17,Email,P1,Closed,Integration,Config,Unexpected billing spike
T00078,C0035,2022-03-19,2022-03-22,Email,P2,Closed,Billing,Product,Unexpected billing spike
T00079,C0036,2021-11-14,2021-11-19,Chat,P3,Closed,Billing,Product,Integration timeout
T00080,C0036,2022-01-13,2022-01-18,Portal,P3,Closed,Performance,Product,Unexpected billing spike
T00081,C0036,2023-07-15,2023-07-18,Portal,P1,Closed,Performance,Bug,Issue with compute workload
T00082,C0037,2021-12-29,2022-01-05,Email,P3,Closed,Integration,Bug,Integration timeout
T00083,C0037,2021-11-16,2021-11-23,Chat,P3,Closed,Billing,Config,Integration timeout
T00084,C0038,2022-04-27,2022-05-04,Email,P3,Closed,Billing,Product,Unexpected billing spike
T00085,C0039,2022-11-01,2022-11-10,Portal,P1,Closed,Integration,Config,Issue with compute workload
T00086,C0039,2023-06-21,2023-06-28,Email,P2,Closed,Integration,Product,Integration timeout
T00087,C0040,2022-03-16,2022-03-22,Email,P1,Closed,Integration,Config,Unexpected billing spike
T00088,C0040,2023-11-07,2023-11-08,Chat,P2,Closed,Performance,Product,Issue with compute workload
T00089,C0040,2022-05-28,2022-06-06,Chat,P2,Closed,Performance,Product,Issue with compute workload
T00090,C0041,2023-10-26,2023-11-02,Email,P1,Closed,Integration,Bug,Issue with compute workload
T00091,C0041,2023-06-12,2023-06-18,Chat,P2,Closed,Integration,Config,Unexpected billing spike
T00092,C0042,2021-09-05,2021-09-07,Chat,P1,Closed,Billing,Product,Integration timeout
T00093,C0043,2023-08-13,2023-08-27,Portal,P3,Closed,Billing,Bug,Integration timeout
T00094,C0043,2022-06-01,2022-06-06,Chat,P1,Closed,Performance,Product,Issue with compute workload
T00095,C0043,2022-08-09,2022-08-22,Email,P2,Closed,Billing,Bug,Issue with compute workload
T00096,C0043,2021-05-02,2021-05-13,Chat,P1,Closed,Integration,Product,Unexpected billing spike
T00097,C0044,2021-07-18,2021-07-30,Chat,P2,Closed,Integration,Config,Issue with compute workload
T00098,C0044,2021-04-30,2021-05-04,Portal,P1,Closed,Billing,Bug,Issue with compute workload
T00099,C0045,2022-12-18,2022-12-19,Portal,P3,Closed,Performance,Bug,Integration timeout
T00100,C0046,2023-02-04,2023-02-14,Chat,P1,Closed,Performance,Product,Integration timeout
T00101,C0047,2023-03-28,2023-03-30,Portal,P2,Closed,Billing,Bug,Issue with compute workload
T00102,C0048,2022-01-14,2022-01-20,Portal,P2,Closed,Performance,Bug,Issue with compute workload
T00103,C0048,2022-06-04,2022-06-15,Portal,P1,Closed,Integration,Product,Unexpected billing spike
T00104,C0048,2022-11-17,2022-11-27,Email,P2,Closed,Billing,Bug,Unexpected billing spike
T00105,C0048,2023-01-14,2023-01-19,Chat,P3,Closed,Performance,Config,Integration timeout
T00106,C0049,2022-06-17,2022-06-27,Email,P1,Closed,Billing,Bug,Issue with compute workload
T00107,C0049,2023-10-03,2023-10-15,Chat,P2,Closed,Billing,Product,Integration timeout
T00108,C0049,2022-12-22,2023-01-04,Email,P2,Closed,Integration,Bug,Unexpected billing spike
T00109,C0050,2022-08-05,2022-08-17,Chat,P3,Closed,Billing,Bug,Integration timeout
T00110,C0050,2022-08-23,2022-09-04,Portal,P2,Closed,Billing,Config,Unexpected billing spike
T00111,C0050,2022-01-24,2022-02-05,Portal,P3,Closed,Integration,Config,Integration timeout
T00112,C0051,2021-10-28,2021-11-03,Chat,P3,Closed,Integration,Product,Unexpected billing spike
T00113,C0052,2023-06-27,2023-07-02,Email,P1,Closed,Integration,Bug,Integration timeout
T00114,C0052,2021-08-15,2021-08-18,Email,P3,Closed,Billing,Config,Unexpected billing spike
T00115,C0053,2023-05-26,2023-05-29,Chat,P2,Closed,Integration,Bug,Unexpected billing spike
T00116,C0053,2022-07-31,2022-08-03,Email,P3,Closed,Performance,Config,Issue with compute workload
T00117,C0053,2023-06-15,2023-06-17,Portal,P2,Closed,Integration,Bug,Integration timeout
T00118,C0054,2022-07-20,2022-07-28,Chat,P1,Closed,Integration,Config,Unexpected billing spike
T00119,C0055,2022-10-20,2022-10-30,Email,P3,Closed,Billing,Bug,Unexpected billing spike
T00120,C0056,2021-09-06,2021-09-09,Portal,P2,Closed,Integration,Config,Integration timeout
T00121,C0056,2023-10-05,2023-10-13,Email,P2,Closed,Performance,Bug,Integration timeout
T00122,C0058,2022-06-04,2022-06-10,Portal,P3,Closed,Performance,Config,Issue with compute workload
T00123,C0058,2023-04-27,2023-05-11,Chat,P1,Closed,Performance,Config,Integration timeout
T00124,C0059,2023-05-28,2023-06-03,Chat,P3,Closed,Performance,Product,Issue with compute workload
T00125,C0059,2022-09-06,2022-09-16,Chat,P2,Closed,Billing,Product,Issue with compute workload
T00126,C0059,2021-08-08,2021-08-19,Portal,P1,Closed,Billing,Bug,Integration timeout
T00127,C0059,2022-08-16,2022-08-22,Portal,P2,Closed,Performance,Config,Integration timeout
T00128,C0060,2022-02-20,2022-03-02,Portal,P3,Closed,Integration,Bug,Unexpected billing spike
T00129,C0060,2021-12-28,2022-01-11,Email,P1,Closed,Billing,Config,Integration timeout
T00130,C0060,2023-02-04,2023-02-11,Portal,P1,Closed,Performance,Product,Issue with compute workload
T00131,C0061,2023-11-23,2023-12-02,Chat,P3,Closed,Performance,Product,Integration timeout
T00132,C0061,2022-05-11,2022-05-24,Portal,P1,Closed,Performance,Product,Unexpected billing spike
T00133,C0062,2023-03-23,2023-03-29,Chat,P3,Closed,Integration,Config,Unexpected billing spike
T00134,C0062,2022-09-18,2022-09-25,Email,P3,Closed,Integration,Config,Unexpected billing spike
